order_id,customer_id,customer_name,product_id,product_name,category,price,quantity,total_amount,order_date,payment_method,city,state,country,status
ORD10024,CUST9390,George Howard,PROD108,Lipstick,Beauty,173.17,3,519.51,2024-09-17,PayPal,New Richard,Missouri,USA,Delivered
ORD10025,CUST3741,Barbara Ware,PROD190,Microwave,Home Appliances,224.63,5,1123.15,2024-03-19,Credit Card,Davisfort,North Dakota,USA,Pending
ORD10026,CUST3923,Jared Mccarthy,PROD590,Washing Machine,Home Appliances,706.8,1,706.8,2024-05-25,Cash,East Seanville,Texas,USA,Pending
ORD10027,CUST4531,Crystal Steele,PROD141,Jeans,Clothing,19.79,4,79.16,2024-10-25,PayPal,Danielborough,Nebraska,USA,Delivered
ORD10028,CUST2138,Adrian West,PROD815,Smartphone,Electronics,628.57,1,628.57,2024-03-16,Credit Card,Leehaven,Hawaii,USA,Canceled
ORD10029,CUST6027,Paul Andrews,PROD175,Dress,Clothing,224.31,1,224.31,2024-12-22,PayPal,Lake Bonniebury,Kansas,USA,Pending
ORD10030,CUST5219,Jesse Newman,PROD910,Lipstick,Beauty,270.48,3,811.44,2024-06-20,Cash,New Robert,Alaska,USA,Pending
ORD10031,CUST7531,Pamela Webb,PROD738,Jacket,Clothing,370.4,4,1481.6,2024-07-22,Cash,East Kathleenburgh,Massachusetts,USA,Canceled
ORD10032,CUST6502,Joshua Porter,PROD438,Smartphone,Electronics,488.03,4,1952.12,2024-09-03,PayPal,South Adam,Montana,USA,Delivered
ORD10033,CUST9862,Patricia Terrell,PROD412,Jeans,Clothing,571.95,5,2859.75,2024-08-03,Cash,Port Virginia,Wyoming,USA,Canceled
ORD10034,CUST7377,Lauren Morris,PROD523,Fiction,Books,142.53,4,570.12,2024-04-10,Cash,East Tracy,Ohio,USA,Delivered
ORD10035,CUST1376,David Mccullough,PROD389,Fiction,Books,220.03,4,880.12,2024-11-15,PayPal,Lake Stephanie,Texas,USA,Canceled
ORD10036,CUST3704,Heather Robinson,PROD605,Microwave,Home Appliances,888.13,4,3552.52,2024-07-29,PayPal,Timothymouth,Florida,USA,Delivered
ORD10037,CUST9522,Anne Johnson,PROD580,Dress,Clothing,454.22,1,454.22,2025-01-14,Credit Card,New Frederickport,Illinois,USA,Canceled
ORD10038,CUST4452,Catherine Simon,PROD808,Vacuum Cleaner,Home Appliances,889.77,2,1779.54,2024-10-10,Credit Card,Lake Ernestview,Kentucky,USA,Canceled
ORD10039,CUST2885,Andrea Nguyen,PROD758,Air Conditioner,Home Appliances,324.71,3,974.13,2024-07-26,Cash,Andrewstad,Idaho,USA,Canceled
ORD10040,CUST4050,Jamie Carr,PROD217,Laptop,Electronics,336.03,5,1680.15,2025-03-13,PayPal,New Ashley,New York,USA,Delivered
ORD10041,CUST2812,Courtney Manning,PROD810,Laptop,Electronics,568.59,4,2274.36,2024-03-27,PayPal,West Danielleview,New Hampshire,USA,Delivered
ORD10042,CUST2590,Jeffrey Padilla,PROD867,Nail Polish,Beauty,791.36,3,2374.08,2024-08-26,Credit Card,New Heathermouth,Idaho,USA,Pending
ORD10043,CUST2138,Micheal Reid,PROD344,Shoes,Clothing,115.32,3,345.96,2024-12-04,Credit Card,New Jasonview,Washington,USA,Delivered
ORD10044,CUST3504,Sara Garza,PROD559,Refrigerator,Home Appliances,294.55,2,589.1,2024-04-05,PayPal,Taylorstad,New Jersey,USA,Canceled
ORD10045,CUST2186,Kimberly Smith,PROD854,Lipstick,Beauty,217.73,2,435.46,2024-04-10,PayPal,Lake Ericbury,Washington,USA,Pending
ORD10046,CUST8468,Brett Robinson,PROD387,Fiction,Books,312.67,4,1250.68,2024-07-27,Credit Card,South Daniel,Illinois,USA,Canceled
ORD10047,CUST4779,Danny Brown,PROD368,Washing Machine,Home Appliances,153.37,3,460.11,2024-11-01,PayPal,East Daniel,Pennsylvania,USA,Delivered
ORD10048,CUST3671,Rachel Collins,PROD333,Vacuum Cleaner,Home Appliances,327.95,5,1639.75,2024-10-30,PayPal,South Ryanside,Texas,USA,Canceled
ORD10049,CUST1171,Anthony Dennis,PROD435,Lipstick,Beauty,511.94,2,1023.88,2024-09-22,Cash,Heatherville,Louisiana,USA,Delivered
ORD10050,CUST7526,Amanda Hayes,PROD285,Dress,Clothing,290.42,2,580.84,2024-12-10,Credit Card,Port Ericchester,Alaska,USA,Pending
ORD10051,CUST1225,Shelley Sims,PROD251,Dress,Clothing,74.07,2,148.14,2024-09-23,PayPal,Calhounville,Idaho,USA,Delivered
ORD10052,CUST9672,Sylvia Miller,PROD801,Mystery,Books,162.69,2,325.38,2025-02-18,Cash,Jenningsburgh,Illinois,USA,Pending
ORD10053,CUST3592,William Harper,PROD981,Science,Books,880.43,2,1760.86,2025-02-20,PayPal,West Ashleyburgh,Oregon,USA,Canceled
ORD10054,CUST1212,Diane Hudson,PROD774,Tablet,Electronics,500.73,2,1001.46,2024-07-27,Credit Card,Sandovalmouth,North Dakota,USA,Pending
ORD10055,CUST4189,Susan Horn,PROD970,Non-fiction,Books,217.69,1,217.69,2024-04-26,Cash,Buckstad,Nebraska,USA,Delivered
ORD10056,CUST1765,Crystal Griffith,PROD671,Air Conditioner,Home Appliances,851.89,1,851.89,2024-06-01,PayPal,Erikafort,Nevada,USA,Delivered
ORD10057,CUST7786,Zachary Moreno,PROD364,Tablet,Electronics,441.85,4,1767.4,2024-06-23,PayPal,Marshallfort,Tennessee,USA,Pending
ORD10058,CUST5858,Matthew Mathis,PROD648,Smartphone,Electronics,162.75,1,162.75,2024-08-06,Cash,Cobbborough,Texas,USA,Canceled
ORD10059,CUST2255,Brian Burton,PROD198,Lipstick,Beauty,393.28,3,1179.84,2024-11-04,Cash,Mauriceside,Vermont,USA,Pending
ORD10060,CUST9740,Emma Lopez,PROD607,Jacket,Clothing,846.89,3,2540.67,2025-02-07,PayPal,West Angelstad,Arkansas,USA,Pending
ORD10061,CUST1256,James Hunter,PROD785,Laptop,Electronics,389.89,5,1949.45,2025-03-06,Cash,Port Sarah,Ohio,USA,Canceled
ORD10062,CUST7531,Christopher Chandler,PROD753,Biography,Books,566.25,5,2831.25,2024-04-05,Cash,East Gregorychester,New Jersey,USA,Pending
ORD10063,CUST1763,Valerie Shaffer,PROD748,Tablet,Electronics,693.74,5,3468.7,2024-12-21,Cash,East James,California,USA,Pending
ORD10064,CUST2697,Michael Patel,PROD248,Non-fiction,Books,314.68,3,944.04,2025-02-16,PayPal,North Michele,Oklahoma,USA,Canceled
ORD10065,CUST9564,Shelly Gonzalez,PROD539,Dress,Clothing,951.32,4,3805.28,2025-03-08,Cash,Lydiastad,Indiana,USA,Canceled
ORD10066,CUST3463,Cheryl Ramirez,PROD718,Shampoo,Beauty,228.58,5,1142.9,2024-06-27,Credit Card,Lake Kimberly,Connecticut,USA,Pending
ORD10067,CUST1988,Bryan Romero,PROD611,Shampoo,Beauty,110.81,5,554.05,2025-01-25,Credit Card,Allenland,Arizona,USA,Canceled
ORD10068,CUST1573,Gail Flynn,PROD743,Non-fiction,Books,269.66,3,808.98,2025-02-22,PayPal,Hoganton,Connecticut,USA,Delivered
ORD10069,CUST4198,Cynthia Wilson,PROD215,Shoes,Clothing,570.82,2,1141.64,2025-02-27,PayPal,Elizabethbury,Oklahoma,USA,Delivered
ORD10070,CUST8064,Tiffany Walker,PROD560,Biography,Books,790.43,3,2371.29,2025-01-01,Credit Card,Ericaport,New York,USA,Pending
ORD10071,CUST6589,Mary Santos,PROD927,Microwave,Home Appliances,999.0,1,999.0,2024-05-09,Cash,Derekland,Idaho,USA,Canceled
ORD10072,CUST6108,Jade Mitchell,PROD646,Microwave,Home Appliances,585.86,2,1171.72,2024-12-14,PayPal,Wilsonton,Florida,USA,Delivered
ORD10073,CUST7884,Stephanie Weaver,PROD425,Vacuum Cleaner,Home Appliances,524.97,1,524.97,2025-02-19,PayPal,North Reginald,Minnesota,USA,Canceled
ORD10074,CUST6655,David Yang PhD,PROD167,Mystery,Books,490.11,2,980.22,2024-05-06,PayPal,Blackwellmouth,Pennsylvania,USA,Canceled
ORD10075,CUST7270,Nicholas Evans,PROD122,Microwave,Home Appliances,789.08,5,3945.4,2024-09-13,PayPal,Lake Janetport,Rhode Island,USA,Delivered
ORD10076,CUST2752,Christopher Perez,PROD827,Jeans,Clothing,347.47,1,347.47,2024-05-04,Credit Card,New Roger,Minnesota,USA,Delivered
ORD10077,CUST5055,Krystal Garcia,PROD815,Face Cream,Beauty,779.11,4,3116.44,2024-07-28,Credit Card,West Travisburgh,Iowa,USA,Pending
ORD10078,CUST6846,Diana Small,PROD180,Science,Books,56.97,2,113.94,2024-10-09,PayPal,Austinville,North Dakota,USA,Canceled
ORD10079,CUST8776,Douglas Duncan,PROD462,Headphones,Electronics,537.24,1,537.24,2024-10-07,Cash,Lisahaven,Arizona,USA,Canceled
ORD10080,CUST9542,Mark Brown,PROD405,Mystery,Books,227.2,2,454.4,2025-02-19,Cash,Foxfort,Alabama,USA,Canceled
ORD10081,CUST3737,Karen Owens,PROD818,Jeans,Clothing,108.84,5,544.2,2025-02-11,PayPal,Ariasfurt,Kansas,USA,Pending
ORD10082,CUST2395,Lori Murphy,PROD700,Smartwatch,Electronics,203.16,1,203.16,2024-07-11,Cash,East Jessicaview,Washington,USA,Delivered
ORD10083,CUST9301,Katherine Hoffman,PROD599,Non-fiction,Books,632.56,2,1265.12,2024-08-19,Cash,Deniseport,Washington,USA,Pending
ORD10084,CUST6817,Tamara Castro,PROD256,T-Shirt,Clothing,347.67,3,1043.01,2024-06-27,PayPal,Jessicaport,New Mexico,USA,Canceled
ORD10085,CUST7662,Rachel Stevens,PROD187,Washing Machine,Home Appliances,230.06,5,1150.3,2024-09-23,Credit Card,Wiseburgh,Hawaii,USA,Canceled
ORD10086,CUST8938,Tina Bentley,PROD425,Face Cream,Beauty,649.46,4,2597.84,2024-03-22,Cash,Brownmouth,Washington,USA,Canceled
ORD10087,CUST1421,Tanya Hayes,PROD220,Shampoo,Beauty,461.67,1,461.67,2024-06-14,PayPal,Lake Jodi,Florida,USA,Canceled
ORD10088,CUST7269,Robin Richards,PROD649,Vacuum Cleaner,Home Appliances,551.77,5,2758.85,2025-01-14,Cash,East Alan,Wisconsin,USA,Delivered
ORD10089,CUST1212,Steven Garner,PROD474,Nail Polish,Beauty,865.23,4,3460.92,2024-11-12,Credit Card,Kathleenchester,North Carolina,USA,Canceled
ORD10090,CUST7991,Mary Coffey,PROD761,Jeans,Clothing,908.1,4,3632.4,2025-02-10,Credit Card,Bellhaven,Kentucky,USA,Delivered
ORD10091,CUST4024,Carolyn Williams,PROD144,Vacuum Cleaner,Home Appliances,297.65,2,595.3,2024-04-28,Credit Card,Port Kathryn,New Jersey,USA,Delivered
ORD10092,CUST7633,Carl Peterson,PROD578,Mystery,Books,468.3,3,1404.9,2024-10-21,PayPal,South Jeffreyfurt,New York,USA,Delivered
ORD10093,CUST2228,Connie Gregory,PROD696,Mystery,Books,105.2,4,420.8,2024-11-16,Credit Card,Lake Benjaminshire,Nebraska,USA,Delivered
ORD10094,CUST5497,Brian Spencer,PROD758,Biography,Books,90.56,4,362.24,2024-05-03,Cash,South Benjaminburgh,North Carolina,USA,Canceled
ORD10095,CUST5928,Sarah Garcia,PROD503,Dress,Clothing,941.46,5,4707.3,2024-06-21,PayPal,Bobbyburgh,Michigan,USA,Delivered
ORD10096,CUST5608,Jodi Moore,PROD266,Face Cream,Beauty,20.52,1,20.52,2024-07-07,Credit Card,Castroside,Colorado,USA,Delivered
ORD10097,CUST7939,Cindy Montgomery,PROD504,Shoes,Clothing,194.64,5,973.2,2025-03-12,Credit Card,Perezbury,West Virginia,USA,Canceled
ORD10098,CUST5287,Karen Cameron,PROD909,Refrigerator,Home Appliances,754.7,4,3018.8,2024-03-21,Cash,Parrishstad,New Mexico,USA,Canceled
ORD10099,CUST9878,Linda Oliver,PROD584,Nail Polish,Beauty,190.07,1,190.07,2024-10-12,Credit Card,South Chrishaven,Washington,USA,Canceled
ORD10100,CUST5045,Victor Garcia,PROD930,Nail Polish,Beauty,972.1,1,972.1,2024-05-18,PayPal,West Stevenmouth,Missouri,USA,Canceled
ORD10101,CUST9920,Brandon Munoz,PROD904,Headphones,Electronics,326.42,4,1305.68,2024-03-15,Credit Card,Mckayland,Hawaii,USA,Pending
ORD10102,CUST7033,Diana Kent,PROD672,Nail Polish,Beauty,209.98,3,629.94,2024-12-22,Credit Card,South Hollyview,Vermont,USA,Pending
ORD10103,CUST9658,Angela Bailey,PROD827,Fiction,Books,186.1,4,744.4,2024-11-10,Cash,Barrymouth,Connecticut,USA,Pending
ORD10104,CUST9668,Andrew Smith,PROD267,Fiction,Books,25.79,1,25.79,2025-01-26,Credit Card,Jessicaborough,Indiana,USA,Delivered
ORD10105,CUST8859,Julie Harris,PROD626,Lipstick,Beauty,19.73,3,59.19,2025-03-10,Credit Card,Port Charlesstad,Connecticut,USA,Canceled
ORD10106,CUST2985,Anthony Myers,PROD969,Refrigerator,Home Appliances,638.2,2,1276.4,2024-07-07,PayPal,East Mariah,Georgia,USA,Canceled
ORD10107,CUST7114,Patrick Greer,PROD326,Fiction,Books,744.31,2,1488.62,2024-05-15,PayPal,North Jenniferchester,California,USA,Pending
ORD10108,CUST1959,Alison Hart,PROD592,Perfume,Beauty,85.68,1,85.68,2024-11-02,Credit Card,Warrenfurt,Missouri,USA,Canceled
ORD10109,CUST1334,Kenneth Simon,PROD912,Lipstick,Beauty,729.12,5,3645.6,2024-11-24,Credit Card,North Ronaldland,Colorado,USA,Delivered
ORD10110,CUST3578,Jason Brooks,PROD197,Lipstick,Beauty,834.38,4,3337.52,2024-10-07,PayPal,Lake Angela,Montana,USA,Pending
ORD10111,CUST4240,Brandon Savage,PROD407,Tablet,Electronics,326.06,3,978.18,2024-09-17,Credit Card,Jonesfurt,Alaska,USA,Canceled
ORD10112,CUST7520,Douglas Carter,PROD564,Science,Books,534.13,4,2136.52,2024-07-21,PayPal,Port Curtis,Vermont,USA,Canceled
ORD10113,CUST4723,Cory Beck,PROD735,Jeans,Clothing,183.37,1,183.37,2024-06-24,Credit Card,New Jane,Hawaii,USA,Pending
ORD10114,CUST3220,Tracy Wilson,PROD182,Jacket,Clothing,983.9,5,4919.5,2024-10-17,PayPal,Jonesberg,Idaho,USA,Pending
ORD10115,CUST6172,Katherine Clark,PROD513,T-Shirt,Clothing,894.43,4,3577.72,2024-03-22,PayPal,West Deborahside,Delaware,USA,Delivered
ORD10116,CUST1553,Amy Ross,PROD458,Science,Books,253.01,3,759.03,2024-09-27,Cash,Lake Rebecca,New York,USA,Pending
ORD10117,CUST7349,Amanda Hensley,PROD911,Air Conditioner,Home Appliances,809.31,5,4046.55,2024-07-12,PayPal,South Josephmouth,Minnesota,USA,Delivered
ORD10118,CUST7033,Heather Larsen,PROD107,Microwave,Home Appliances,14.66,3,43.98,2024-09-19,Cash,Edwardsfurt,Maine,USA,Canceled
ORD10119,CUST2042,Mr. Adam Vaughn,PROD736,Perfume,Beauty,514.67,1,514.67,2025-03-05,Cash,Dannyview,Wyoming,USA,Delivered
ORD10120,CUST2224,William Vaughan,PROD630,Smartwatch,Electronics,172.48,1,172.48,2024-10-01,Cash,Friedmanport,Tennessee,USA,Delivered
ORD10121,CUST5258,Ronald Allen,PROD564,Lipstick,Beauty,933.32,3,2799.96,2024-12-18,Cash,New Dillonfurt,Louisiana,USA,Canceled
ORD10122,CUST2925,Ryan Powers,PROD537,Nail Polish,Beauty,474.62,3,1423.86,2024-05-17,Cash,East Angela,Maryland,USA,Canceled
ORD10123,CUST8023,Heidi Cross,PROD650,Science,Books,750.21,4,3000.84,2025-02-14,Credit Card,Caitlinport,Indiana,USA,Canceled
ORD10124,CUST6193,Robert Delgado,PROD355,Perfume,Beauty,694.55,2,1389.1,2024-06-24,PayPal,Knoxville,Wisconsin,USA,Delivered
ORD10125,CUST9513,Linda Washington,PROD238,Mystery,Books,757.82,5,3789.1,2024-07-11,PayPal,Stephanieberg,Colorado,USA,Delivered
ORD10126,CUST1227,Christina Dean,PROD307,Tablet,Electronics,467.45,1,467.45,2025-01-14,PayPal,Port Rickyshire,Maine,USA,Delivered
ORD10127,CUST8467,Patrick Barker,PROD884,Vacuum Cleaner,Home Appliances,139.89,3,419.67,2024-04-13,PayPal,Robinsonstad,Hawaii,USA,Delivered
ORD10128,CUST8726,Chris Johnson,PROD785,Air Conditioner,Home Appliances,33.12,4,132.48,2025-01-19,Credit Card,Lake Michelleberg,South Carolina,USA,Pending
ORD10129,CUST9813,Rachel Clark,PROD518,Washing Machine,Home Appliances,945.78,1,945.78,2024-06-29,Credit Card,Port Natalieberg,Maine,USA,Pending
ORD10130,CUST2500,Michelle Wilson,PROD304,Air Conditioner,Home Appliances,156.71,4,626.84,2025-02-06,PayPal,Garciaville,Delaware,USA,Delivered
ORD10131,CUST4799,Maria Jones,PROD431,Dress,Clothing,298.45,4,1193.8,2025-01-14,Credit Card,Amandaside,Mississippi,USA,Canceled
ORD10132,CUST7645,Julie Sparks,PROD753,Face Cream,Beauty,588.56,4,2354.24,2024-12-15,Credit Card,Andrewtown,Indiana,USA,Delivered
ORD10133,CUST8204,Catherine Owens,PROD841,Vacuum Cleaner,Home Appliances,646.98,3,1940.94,2024-07-21,PayPal,Owensland,Wisconsin,USA,Pending
ORD10134,CUST2781,Michelle Mills,PROD168,Mystery,Books,80.0,3,240.0,2024-04-19,Credit Card,North Caitlyn,Idaho,USA,Pending
ORD10135,CUST8645,Darren Higgins,PROD509,Microwave,Home Appliances,790.75,2,1581.5,2024-04-01,Credit Card,Campbellside,New Hampshire,USA,Delivered
ORD10136,CUST4109,Beverly Harris,PROD176,Nail Polish,Beauty,290.85,1,290.85,2024-08-18,Credit Card,Lake Kenneth,Kentucky,USA,Canceled
ORD10137,CUST2452,Eric Murphy,PROD742,Headphones,Electronics,42.56,2,85.12,2024-06-01,Credit Card,Sarahhaven,Maine,USA,Delivered
ORD10138,CUST8328,Anne Torres,PROD261,Refrigerator,Home Appliances,366.73,3,1100.19,2024-12-18,PayPal,New Veronicaville,New Jersey,USA,Canceled
ORD10139,CUST8088,Theresa Obrien,PROD399,Laptop,Electronics,456.27,2,912.54,2024-08-11,Credit Card,Josephshire,Pennsylvania,USA,Delivered
ORD10140,CUST2390,Dawn Morgan,PROD900,Washing Machine,Home Appliances,669.87,4,2679.48,2024-07-21,Cash,Romanberg,New York,USA,Delivered
ORD10141,CUST1264,Rachel Stephenson,PROD182,Perfume,Beauty,685.17,5,3425.85,2024-09-20,Credit Card,North Barry,Indiana,USA,Pending
ORD10142,CUST5463,Michael Price,PROD818,T-Shirt,Clothing,790.7,5,3953.5,2025-01-03,Cash,West Bryceberg,Oregon,USA,Delivered
ORD10143,CUST1886,Richard Robinson,PROD844,Jacket,Clothing,82.82,4,331.28,2024-04-24,Credit Card,Blackburnview,South Dakota,USA,Canceled
ORD10144,CUST8446,Lisa Miranda,PROD769,Mystery,Books,518.3,3,1554.9,2024-05-07,Cash,Darrenstad,Vermont,USA,Delivered
ORD10145,CUST6154,Ashley Brown,PROD831,Biography,Books,936.09,1,936.09,2024-09-02,Credit Card,Jessicaborough,Florida,USA,Canceled
ORD10146,CUST6222,Robert Edwards,PROD160,Air Conditioner,Home Appliances,863.1,2,1726.2,2024-10-17,Cash,Calvinstad,Missouri,USA,Canceled
ORD10147,CUST3765,Brittney Mccoy,PROD521,Jacket,Clothing,490.87,4,1963.48,2024-05-21,PayPal,Cameronberg,South Carolina,USA,Pending
ORD10148,CUST7540,Anthony Mcpherson,PROD130,Microwave,Home Appliances,120.78,3,362.34,2024-09-29,PayPal,East Thomas,Massachusetts,USA,Canceled
ORD10149,CUST1654,Angela Long,PROD237,Dress,Clothing,964.47,5,4822.35,2024-12-09,PayPal,Matthewhaven,Illinois,USA,Delivered
ORD10150,CUST7591,Ryan Young,PROD108,Mystery,Books,283.99,5,1419.95,2024-10-23,Cash,South Bryanland,Alabama,USA,Canceled
ORD10151,CUST3072,John Pollard,PROD975,Jacket,Clothing,720.83,2,1441.66,2024-03-31,Cash,Jimenezmouth,Wisconsin,USA,Pending
ORD10152,CUST1410,Christopher Castillo,PROD384,Refrigerator,Home Appliances,656.48,4,2625.92,2024-07-08,Credit Card,North James,Georgia,USA,Canceled
ORD10153,CUST2139,Paul Barry,PROD515,Laptop,Electronics,631.73,4,2526.92,2024-09-09,Cash,East Christophermouth,Oregon,USA,Pending
ORD10154,CUST7556,Samantha Graham,PROD909,Vacuum Cleaner,Home Appliances,196.9,2,393.8,2024-05-19,Credit Card,East Stephen,Washington,USA,Pending
ORD10155,CUST1208,Darlene Bartlett,PROD740,Laptop,Electronics,609.62,5,3048.1,2024-08-22,PayPal,Seanborough,Delaware,USA,Canceled
ORD10156,CUST2633,Joshua Norman,PROD530,Refrigerator,Home Appliances,176.74,2,353.48,2024-12-29,Credit Card,East Janetown,New Jersey,USA,Pending
ORD10157,CUST2432,Gary Adams,PROD612,T-Shirt,Clothing,980.95,3,2942.85,2024-03-17,PayPal,Gonzalezborough,Oklahoma,USA,Canceled
ORD10158,CUST1466,Patricia Cole,PROD175,Microwave,Home Appliances,719.8,5,3599.0,2024-03-16,Credit Card,Lorichester,Missouri,USA,Canceled
ORD10159,CUST7970,Regina Keller,PROD322,Vacuum Cleaner,Home Appliances,214.21,5,1071.05,2024-09-08,Cash,North Autumn,North Dakota,USA,Pending
ORD10160,CUST3893,Michele Clark,PROD996,Shoes,Clothing,718.67,2,1437.34,2024-09-13,Cash,East James,New York,USA,Canceled
ORD10161,CUST8561,Daniel Bennett,PROD343,Microwave,Home Appliances,87.44,1,87.44,2024-06-20,Credit Card,Edwardfort,Maryland,USA,Delivered
ORD10162,CUST4075,Devin Valentine,PROD136,Washing Machine,Home Appliances,187.39,3,562.17,2024-05-23,Credit Card,Williamsborough,Ohio,USA,Delivered
ORD10163,CUST6626,Alicia Dominguez,PROD355,Air Conditioner,Home Appliances,650.42,3,1951.26,2024-04-24,PayPal,Russellhaven,Maryland,USA,Pending
ORD10164,CUST8613,Benjamin Wallace,PROD424,Shoes,Clothing,188.56,3,565.68,2024-09-14,Cash,Kanebury,Kansas,USA,Delivered
ORD10165,CUST3940,Julian Schneider,PROD632,Jacket,Clothing,295.09,3,885.27,2024-03-17,Cash,Lauraburgh,North Dakota,USA,Canceled
ORD10166,CUST5969,Ms. Laurie Simon,PROD920,Nail Polish,Beauty,524.71,2,1049.42,2024-12-31,Cash,Perezton,Arizona,USA,Delivered
ORD10167,CUST9904,Cassandra Gardner,PROD787,Jacket,Clothing,349.03,2,698.06,2024-09-25,PayPal,Gabrielamouth,Alabama,USA,Canceled
ORD10168,CUST2613,Nicholas Park,PROD357,Biography,Books,163.68,2,327.36,2024-12-24,Cash,South Richard,Georgia,USA,Pending
ORD10169,CUST8841,Christine Hopkins,PROD614,Biography,Books,556.55,1,556.55,2024-06-28,PayPal,New Henrymouth,South Dakota,USA,Pending
ORD10170,CUST8311,Robin Hale,PROD844,T-Shirt,Clothing,671.65,3,2014.95,2024-06-11,PayPal,Port Catherineview,Washington,USA,Pending
ORD10171,CUST6815,Christine Wilson,PROD572,Non-fiction,Books,868.62,3,2605.86,2024-05-01,Credit Card,Port Rachel,Montana,USA,Delivered
ORD10172,CUST7564,Charles Greene,PROD950,Nail Polish,Beauty,807.54,5,4037.7,2024-09-26,Cash,Lake Christopherborough,Wisconsin,USA,Delivered
ORD10173,CUST3116,James Hunt,PROD117,Jeans,Clothing,784.5,2,1569.0,2024-06-02,Cash,Oliverburgh,Florida,USA,Canceled
ORD10174,CUST7223,Anna Powers,PROD672,Science,Books,724.66,2,1449.32,2024-06-15,PayPal,Lake Tonya,Massachusetts,USA,Delivered
ORD10175,CUST4682,Lisa Hernandez,PROD247,Tablet,Electronics,915.39,1,915.39,2024-09-09,Credit Card,Ericaville,Iowa,USA,Delivered
